username,country,score,date_written,positive,negative,tags
Colmenares,España,10.0,Escrito en 14 de enero de 2025,Todooo fue el mejor que he estado,Todo fue el mejor todo confort me encantó lo recomiendo 💯,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Regina,España,8.0,Escrito en 14 de enero de 2025,"El apartamento cumplió nuestras expectativas. Cerca del centro y con paradas de tranvía cerca. El barrio estupendo, y con un supermercado DIA justo al lado. Cocina con todo lo necesario: platos, copas, vasos, tazas... tostadora de pan y cafetera de cápsulas. Baño completo y con secador de pelo. Salita de estar con sofá, televisión y un sillón de lectura al lado de la ventana que permite pasar un rato viendo la calle principal. Hay una mesa redonda con 2 sillas para los desayunos/comidas... El dormitorio con 2 camas juntas, cómodas. Calefacción en el apartamento. Las fotos reflejan lo que es. Estupendo.","No me gusta y lo hacen ya en la mayoría de los hoteles y casas, que como ropa de cama pongan sólo FUNDA NÓRDICA sustituyendo las colchas... para mi, dan demasiado calor y no hay otra opción, o te axfisias con la funda nórdica o pasas frío solo con la sábana. Me gustaría que pusieran otro tipo de ropa de cama, como colcha tradicional o mantita para las personas que pasamos calor y que no queremos pasar frio. Y eso que apagamos la calefacción... En mi opinión es excesivo lo nórdico...","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches']"
Malara,España,10.0,Escrito en 11 de enero de 2025,Todo,Nada,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Sebastian,España,7.0,Escrito en 7 de enero de 2025,"Buena ubicación, comodo y amplio","Necestita algun arreglo, cortinas con agujeros, tapa wc rota...","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Olga,España,8.0,Escrito en 7 de enero de 2025,La ubicación y que era grande,Faltaba limpieza y uno de los baños tenía olor muy desagradable a tuberías,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 3 noches', '•Enviado por móvil']"
Ana,España,8.0,Escrito en 7 de enero de 2025,La decoración y limpieza,Almohadas incómodas.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Inmaculada,España,8.0,Escrito en 23 de noviembre de 2024,"La ubicación muy buena, la correspondencia genial con el personal dedicado al alojamiento, gran disponibilidad a las peticiones que van surgiendo .
Muchas gracias 
Muy cómodo","La ducha, necesitaría una mampara","['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Antonia,España,9.0,Escrito en 22 de noviembre de 2024,"Lo que más me gustó, poder ir con mi mascota 🐕",,"['•Con una mascota', '•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Perez,España,10.0,Escrito en 22 de noviembre de 2024,Me encantó estaba todo céntrico y la libertad de movimiento de la ciudad 🏙️,No me gustó que si me da la opción de cuna no me la pusieran en la habitacion,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Paula,España,9.0,Escrito en 21 de noviembre de 2024,"El apartamento estaba muy bien climatizado, calentito. Buena ubicación. Amplitud del apartamento con habitación.",Poca presión del agua en la ducha. El ambientador del pasillo era demasiado fuerte.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Uxue,España,8.0,Escrito en 21 de noviembre de 2024,"-El apartamento tiene todo lo que puedas necesitar.-Estaba limpio.-Buena ubicación, tienes el centro a escasos minutos andando.","-La hora de entrada es a las 15:00 y la de salida a las 11:00. Si quieres entrar antes o salir mas tarde supone un coste adicional. Nunca antes me había ocurrido en apartamentos de estas características (teniendo en cuanta el precio por noche es algo que deberían de proporcionar siempre que hubiera posibilidad).-El sofá cama es muy incomodo, de muy mala calidad, no se puede descansar.-Al rededor de las 7-8 de la mañana nos estaban limpiando la puerta del apartamento por fuera y eso perturbó e impidió el descanso de la persona que durmió en el sofá cama. Indignante teniendo en cuenta que tienes que dejar el apartamento antes de las 11:00.","['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Gerardo,España,8.0,Escrito en 18 de noviembre de 2024,,El colchón de la cama un poco incómodo,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']"
Carmena,España,8.0,Escrito en 17 de noviembre de 2024,El apartamento en general.. que no hubiera at,"Que no hubiera atención personal 
Y problemas para hacer el chekin..","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Isabel,España,9.0,Escrito en 14 de noviembre de 2024,"La ubicación, el apartamento en general y los detalles de bienvenida",La cama,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Irene,España,8.0,Escrito en 13 de noviembre de 2024,Es un apartamento amplio y espacioso. Muy cerca del centro y muy bien equipado.,La cama un poco incómoda.,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Beatrizc84,España,9.0,Escrito en 13 de noviembre de 2024,"Apartamento nuevo, con muy buena ubicación, a 13 min andando del centro. En avenida con muchos comercios y restaurantes. Un supermercado día justo al lado. Luminoso, limpio, amplio para 2 personas.","Echamos en falta q la TV tuviera netflix, prime, o alguna de estas. La cocina tenía todo lo necesario excepto algún cuchillo que cortará. Los que hay son malisimos. Y también nos falto una cafetera de las que no son de cápsulas, una italiana de toda la vida. La que hay te limita. Y por último comentar que quizás de precio esta algo caro, más de 100€ la noche en temporada baja.","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Rafael,España,10.0,Escrito en 11 de noviembre de 2024,"Todo perfecto, incluido el aparcamiento.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Raquel,España,9.0,Escrito en 11 de noviembre de 2024,"El alojamiento estaba muy bien ubicado, a 10 minutos del centro histórico. Estaba bien equipado y era bastante nuevo todo",Las almohadas de la cama eran demasiado finas y el colchón del sofá cama con poco grosor,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Maria,España,10.0,Escrito en 11 de noviembre de 2024,La habitación y su ubicación,"Me da pena que no haya personal, aunque tengo que decir que todo funcionó muy bien","['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Angel,España,10.0,Escrito en 9 de noviembre de 2024,,,"['•Viaje de negocios', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Ana,España,8.0,Escrito en 8 de noviembre de 2024,Si,,"['•Grupo de amigos', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Sara,Francia,10.0,Escrito en 6 de noviembre de 2024,"La limpieza y la comodidad, bastante bien equipado!!",Nada,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
María,España,9.0,Escrito en 6 de noviembre de 2024,Todo menos la cama.,"La cama horrible, todo lo demás estupendo y maravilloso pero cero descanso","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Susana,Francia,9.0,Escrito en 6 de noviembre de 2024,¡Apartamento muy equipado y muy amplio! Me encanta alojarme ahí cada vez que voy a Vitoria.,Falta una tostadora de pan. No se podía abrir la ventana de la habitación.,"['•Viaje de negocios', '•Persona que viaja sola', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']"
Mauro,España,8.0,Escrito en 6 de noviembre de 2024,"Está cerca de lo que me interesaba, apartamentos limpios y cómodos","Por fechas, posiblemente estaba más caro de lo normal","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Alicia,España,8.0,Escrito en 6 de noviembre de 2024,"Fue muy cómodo hacer el check in y la recepción estaba 24 horas. Estaba todo digitalizado, respondían rápido y la ubicación del apartamento estaba muy bien. Además nos dejaron un detalle de bienvenida",El sofá era un poco incómodo lo demás estaba muy bien.,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Rafael,España,10.0,Escrito en 5 de noviembre de 2024,El apartamento es grande y está muy limpio. El desayuno muy bueno y completo,,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Jorge,Argentina,9.0,Escrito en 5 de noviembre de 2024,"El desayuno está ubicado frente al apartamento, no es todo lo cómodo que debería ser.",,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches']"
Merce,España,9.0,Escrito en 4 de noviembre de 2024,"Todo: ubicación, limpieza, camas cómodas con sábanas y toallas de excelente calidad. Muchos detalles. 
Además un agradecimiento a su personal por su profesionalidad y rapidez en gestionar cualquier solicitud. Aunque es todo on line hay personal en el edificio y la atención es excelente. Accesibilidad total.",,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Leyre,España,10.0,Escrito en 4 de noviembre de 2024,Apartamento muy completo.,Sofá cama algo incómodo para dormir y pasamos bastante calor en el apartamento pese a ser el mes de Octubre.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Esther,España,8.0,Escrito en 3 de noviembre de 2024,"La ubicación es perfecta, está muy cerca del casco antiguo. 
El apartamento impecable, el único problema es que en el baño no había mampara de ducha ni cortina, con lo que la ducha está abierta totalmente .",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Margarita,España,8.0,Escrito en 3 de octubre de 2024,"Me gustó lo céntrico q estaba y lo limpio y todo nuevo q era,para repetir🥰",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Ezeiza,España,7.0,Escrito en 30 de septiembre de 2024,"La ubicación 
El apartamento","El hecho de no tener con quien resolver dudas
Poder hablar con alguien para gestionar la reserva
Nos vendieron habitación para 4 y solo había dos camas y un sofá poco confortable","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Crispina,España,8.0,Escrito en 30 de septiembre de 2024,"Esta muy bien situado, tiene todo lo que necesitas y en los alrededores también","El sofá cama es una porquería, para sentarte bien pero para dormir muy incómodo e inseguro","['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Teresa,España,9.0,Escrito en 29 de septiembre de 2024,"Que era moderno, nuevo y estaba bien equipado con muchos utensilios de cocina.","Que el parking del alojamiento era de pago, aunque en la calle era fácil aparcar gratis.","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Mariela,España,8.0,Escrito en 28 de septiembre de 2024,"El apartamento es precioso, nuevo y muy limpio. Tienes todo lo que necesitas y se está muy cómodo. Nos ha encantado el diseño.","Tienen calefacción central, hacia demasiado calor y no puedes regular la temperatura.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Inés,España,8.0,Escrito en 26 de septiembre de 2024,Todo el apartamento impecable y cómodo.,"Pasamos un poco de fresquito, no se podía regular el termostato.
Impersonal, porque no veíamos con quién hablábamos, cuando consultábamos algo
No había nadie, de forma presencial","['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Blanca,España,9.0,Escrito en 26 de septiembre de 2024,"Buena localizacion, comodo, amplio, sofa-cama grande, todo muy limpio. ¡Repetiriamos!",No hay recepción. Todo online.,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Fernandez,España,9.0,Escrito en 26 de septiembre de 2024,El desayuno perfecto. Y la ubicación muy buena.,La única pega que le pongo al apartamento es el calor que hacía y que el aire acondicionado no funcionaba. Por lo demás todo perfecto.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Enrique,España,9.0,Escrito en 25 de septiembre de 2024,"Amplitud, limpieza y ubicación a solo 10min andando del centro",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Rosa,España,8.0,Escrito en 25 de septiembre de 2024,"Limpieza, comodidad y Apartamento muy acogedor, con muy buena ubicacion",,"['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios', '•Estancia de 4 noches']"
Maiquez,España,7.0,Escrito en 25 de septiembre de 2024,"La ubicación a 5 minutos a pie de la plaza del ayuntamiento.
Apartamento limpio y bien equipado.","El sofá cama incomodísimo, a pesar de utilizarlo dos niños con poco peso se hundía.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Jose,España,10.0,Escrito en 24 de septiembre de 2024,La situación y las instalaciones en general.,,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Tamara,España,8.0,Escrito en 24 de septiembre de 2024,"Las instalaciones amplias y limpias.
Ubicación perfecta, cerca del centro y fácil aparcar",Que la tv no tuviera smart tv. Algo de ruido por las noches en la calle porque hay un pub debajo.,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Diaz,España,7.0,Escrito en 23 de septiembre de 2024,Estaba limpio,Se oye a los vecinos,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Ana,España,8.0,Escrito en 22 de septiembre de 2024,El lavabo muy amplio,el cubre colchones tenía 1 mancha de sangre seca y estaba amarillento,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Nicolai,España,10.0,Escrito en 22 de septiembre de 2024,"Las habitaciones son amplias y muy cómodas, con todo tipo de accesorios. Te dejan un kit de bienvenida con agua y un snack.","Si viajas con mascota, el precio de 20€/noche me parece excesivo, a pesar de que es de los pocos sitios donde te dejan una cama para el animal, comedero y bebedero","['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Paloma,España,9.0,Escrito en 21 de septiembre de 2024,La ubicación y lo completo que era el apartamento,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Paloma,España,10.0,Escrito en 21 de septiembre de 2024,"El apartamento tenía 2 habitaciones y 2 baños, todo impoluto y muy amplio. La cocina completamente equipada. Nos ha parecido tranquilo y las camas comodísimas. Muy bien situado para visitar la ciudad, facilidad de aparcamiento gratuito en los alrededores. Nos hemos quedado encantados con nuestra estancia.",--,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Antonio,España,9.0,Escrito en 21 de septiembre de 2024,fuimos con mascota y muy comodo el parquing en el mismo edificio,,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Yosleidy,España,10.0,Escrito en 21 de septiembre de 2024,"Lo limpio, cómodo y céntrico que estaba",Que la ducha no tenía buen desagüe y el agua se estancaba,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Pedro,España,8.0,Escrito en 21 de septiembre de 2024,Buena ubicacion,Sofá cama incómodo no se notaba estable y faltaba cabecera para la 3 persona,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Chelo,España,10.0,Escrito en 21 de septiembre de 2024,Las sábanas de algodón y el desayuno,"Que no haya empleados, hubo una chica cuando llegamos que nos ayudó con un problema con la tele y ya, nunca vimos a nadie más. La tele dejó  de funcionar al día siguiente.. El sofá cama incomodísimo","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Fabian,Argentina,10.0,Escrito en 20 de septiembre de 2024,Estaba todo impecable,Que no podías usar el aire acondicionado en modo frío porque me contestaron que ya estaban en periodo invernal,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
Toni,España,8.0,Escrito en 20 de septiembre de 2024,Apartamento muy completo para el precio,El baño se inunda cuando te duchas,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,9.0,Escrito en 18 de septiembre de 2024,La ubicación y limpieza,Colchones un poco duros,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Pasteleria,Argentina,10.0,Escrito en 30 de agosto de 2024,"Nos sorprendió gratamente la ciudad y el alojamiento. Está sobre una avenida, aparcamos en la calle rápidamente sin cargo (era domingo). Nos movimos caminando super bien; una ciudad tranquila, con muchos bares para picotear y comer. nos sorprendió muchisimo la ciudad. Respecto del alojamiento, antes de llegar, recibimos los códigos de acceso OK y también el numero de departamento. Igual cuando llegamos habia una recepcionista muy dispuesta a ayudar, pero no fue necesario, con el mail fue suficiente. En la recepcion (que no está 24hs) hay una máquina expendedora que nos resolvió a la noche. El apartamento es 100% nuevo y moderno. A nosotros nos tocó un monoambiente muy bien decorado. Todo super cuidado. Cuando ingresamos nos habian dejado 2 regalos: uno con agua, cápsulas (tiene cafetera tipo nespresso), y papas fritas; y una segunda con una espoja, repadador, trapo de cocina, detergente, y cápsulas para lavavajillas y lavarropas. Estaba equipado con todo lo necesario. El baño totalmente nuevo, cómodo, amplio. Las toallas nuevas también; contaba con jabon liquido y shampoo OK. todo más que IMPECABLE. Super recomiendo","Sólo una cuestion, y es de gusto. La zona de la ducha no tiene nada que contenga el agua (la duca y el piso está todo a la misma altura) y no tiene cerramiento tampoco. entonces hay que bañarse con cierto cuidado, de lo contrario el agua puede llegar a la cocina.","['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche']"
Maria,España,10.0,Escrito en 29 de agosto de 2024,Todo,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Marco,España,9.0,Escrito en 29 de agosto de 2024,"Equipamiento, ubicación, limpieza, ambientación.","Unica cortina opaca y obscura de dia si abres no hay intimidad.
Habitacion da a patio interior feo.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
La_beica,España,10.0,Escrito en 29 de agosto de 2024,Todo,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Ángela,España,9.0,Escrito en 28 de agosto de 2024,"La ubicación es muy buena, el apartamento está genial, moderno, bonito y práctico. La cocina tiene todo lo necesario, menaje, microondas, nevera y congelador, cafetera, tostador, lavavajillas y hasta lavadora. 
Las instalaciones están nuevas y muy bien hechas.","Las sartenes estaban muy abolladas y en la inducción no funcionaban bien, deberían sustituirlas por unas nuevas.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Sonia,España,9.0,Escrito en 28 de agosto de 2024,Situación y el apartamento,Las cortinas estaban rotas,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Laura,España,10.0,Escrito en 28 de agosto de 2024,"Fantástico. Un apartamento muy moderno, cómodo y bien equipado. Muy céntrico y genial que tuviera párquing en el mismo edificio. Un detalle que te dejen cápsulas de Nexpresso de bienvenida, junto con una para la lavadora y otra para el lavavajillas. Mejor que una habitación de hotel, pero mucho mas barato. Muy buena relación calidad-precio. Totalmente recomendable. Si vamos a otro destino que tenga Líbere repetiremos seguro.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Rouzaud,Venezuela,8.0,Escrito en 27 de agosto de 2024,Muy bonito el apartamento,El sofá cama no era cómodo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Mª,España,7.0,Escrito en 27 de agosto de 2024,La ubicación y el apartamento hacia agradable la estancia,El sofá cama era un poco incómodo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Carmen,España,8.0,Escrito en 27 de agosto de 2024,"Amplio, luminoso, nuevo y bien equipado",La limpieza no era óptima y el sofá cama no era cómodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Cristóbal,España,10.0,Escrito en 27 de agosto de 2024,"De los mejores apartahoteles en los que me he quedado. Muy buena opción para quedarte en vitoria. Cerca del centro y se puede aparcar facilmente en las próximidades del apartamento (nosotros fuimos en verano)
Todo tiene una gran calidad, las camas muy comodas, es un sitio en el que se podría vivir una temporada perfectamente sin ningún tipo de problema. Todo complemtanete equipado y encima, te dan hasta un kit de limpieza gratuito el primer día que incluye: trapo, estropajo, bayeta, jabón friegaplatos, una pastilla para el lavavajillas y otra para la lavadora (que también es secadora). Si volvemos a vitoria probablemente reservemos en el mismo sitio porque nos ha gustado muchísimo.","Por ponerle una pega, las habtiaciones disponen de chromecast para que puedas poenr tus plataformas desde el movil pero tienen el inconveniente que como va a la misma red wifi del edificio entonces cualquier inquilino que esté conectado a la red puede quitarte la serie/película o ponerte otra, lo cual que lo hace totalmente inusable y es una pena. Pero solo por poner una pega, es un sitio genial para quedarse","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
El,Países Bajos,9.0,Escrito en 27 de agosto de 2024,Esta limpio  moy cercano a todo  y hay todo  que necesitas  solo  la sofá  no esta cómoda para dormir,,"['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
José,España,7.0,Escrito en 27 de agosto de 2024,Esta muy cerca del centro de la ciudad y bien equipado.,"El sofá cama presenta una estructura frágil, lo cual puede resultar incómodo para personas de mayor tamaño.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Canditrece,España,9.0,Escrito en 26 de agosto de 2024,Apartamento para disfrutar de el,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Manuel,España,8.0,Escrito en 26 de agosto de 2024,De 10,"Aplicación, la información no es exacta","['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Juan,España,8.0,Escrito en 26 de agosto de 2024,La ubicación y comodidad. Estaba bastante limpio y ademas te dejaban kits de limpieza con todo lo necesario para alojarte cómodamente. La gestión por la página muy fácil.,"Que tenia olor a tabaco, imagino que de algún cliente anterior. No me gusto haber elegido pago a la llegada y me cobraron antes.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Francisco,España,9.0,Escrito en 26 de agosto de 2024,Ubicación perfecta cerca de la parte antigua. Parking. Tranquilo. Limpio. Cómodo. Muy bien de precio.,Nada que comentar,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Sabela,España,7.0,Escrito en 25 de agosto de 2024,"Acceso directo parking-habitación.
Supermercado en el local de abajo.",,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Veronica,España,9.0,Escrito en 25 de agosto de 2024,"Apartamento muy cómodo en general y práctico. La ubicación muy buena. Lo que más nos gustó fue el sistema de check-in y el uso de las llaves digitales, lo que facilita el ingreso.",El sofá cama no era muy cómodo y bastante ruidoso para dormir.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
Rosa,España,9.0,Escrito en 25 de agosto de 2024,"Limpieza,  Ubicacion",El sofá- cama un poco incómodo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 6 noches', '•Enviado por móvil']"
Gloria,España,7.0,Escrito en 25 de agosto de 2024,"Estaba limpio y bien situado, el sofá cama del salón para no pegar el ojo.Bastante incómodo.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Leonor,España,9.0,Escrito en 25 de agosto de 2024,"Perfecta ubicación, estancia muy agradable y personal muy atento a nuestras necesidades. Se cumplieron de sobra nuestras expectativas. Muchas gracias!",,"['•Persona que viaja sola', '•Apartamento Estudio', '•Estancia de 6 noches', '•Enviado por móvil']"
Angeles,España,9.0,Escrito en 24 de agosto de 2024,"La situación era estupenda, la cocina muy bien equipada.
Fácil aparcamiento en el exterior
El personal muy amable","El sofá cama era incómodo, se hundía. 
Había determinadas horas en el día en que dos ascensores eran insuficientes, aunque entiendo que esto no depende de la dirección de los apartamentos","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 7 noches', '•Enviado por móvil']"
Vicente,España,10.0,Escrito en 24 de agosto de 2024,"Estuvimos muy cómodos y con un detalle de bienvenida,todo muy limpio y la cocina con utensilios para poder cocinar cualquier alimento.100% recomendable",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Javier,España,8.0,Escrito en 24 de agosto de 2024,"Instalaciones, ubicación, parking","Sin personal físico 
Check in demasiado tarde ( 15h)
Check out demasiado pronto (11h)","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Adriany,España,10.0,Escrito en 10 de agosto de 2024,"Equipado con todo lo necesario, cómodo, buenas vistas, moderno.","No limpiaron bien debajo del sofá cama. Cuando lo abrimos, debajo había un preservativo.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
