username,country,score,date_written,positive,negative,tags,hotel
Rubio-bañón,España,8.0,Escrito en 25 de agosto de 2025,Las instalaciones eran muy buenas y muy céntrico,"La limpieza del apartamento, estuvimos cinco noches y no nos cambiaron las toallas ni limpiaron la habitación.","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']",Vitoria
Elena,España,8.0,Escrito en 23 de agosto de 2025,"El personal fue muy amable  y la ubicación es fantástica. A 10 minutos  a pie del centro histórico de Vitoria.
El apartamento para 5 personas es espacioso y estaba muy limpio.",El sofa-cama es bastante incómodo para dormir en él. Tuve que pedir material de limpieza como pastilla para el lavavajillas y trapo de cocina porque no estaba en la habitación. Aunque es verdad que la recepcionista me los proporcionó inmediatamente.,"['•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Loli,España,8.0,Escrito en 23 de agosto de 2025,"La ubicacion y que aunque haya parking, se puede aparcar con suerte fuera
El apartamento está nuevo y tiene de casi todo","Que no tuviera una escoba para poder recoger lo básico, ni escobilla de wc, así como algo para fregar los cacharros, cosa que hoy día hay en casi todos los apartamentos turísticos
En mi caso con pelo largo he tenido que recoger los pelos con algo de papel","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Andrea,España,9.0,Escrito en 23 de agosto de 2025,"Me pareció muy cómodo el check-in online y autónomo. Muy bien el parking en el edificio. Genial ubicación, muy cómoda.
El apartamento bien decorado y equipado, para unos días genial.","Difícil contar con alguien si se necesita, demasiado autónomo todo. Vistas feas","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Laura,España,10.0,Escrito en 23 de agosto de 2025,"Es un edificio entero dividido en apartamentos. Hay personal de asistencia durante el día, en recepción, y asistencia on line o telefónica por la noche. En todo momento, nuestras dudas fueron resueltas. Las instalaciones son nuevas, de excelente calidad, insonorizado todo y la limpieza excelente. Y la ubicación es perfecta. Es una avenida grande con comercio y lugares donde desayunar. En 5 minutos andando se accede al casco viejo de Vitoria.","Éramos cuatro y, para el sofá cama, sólo había 1 almohada. El colchón se hundía un poco hacia el centro, pero estuvimos sólo una noche y es asumible.","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']",Vitoria
Amelia,España,8.0,Escrito en 22 de agosto de 2025,Que estaba muy limpio y era todo nuevo y espacioso.,"Que no había ningún utensilio para la limpieza del hogar, escoba, mocho, bayeta, ademanes había un lavaplatos pero no había ninguna pastilla, ni estropajo ni jabón para lavar los platos, por lo que si querías barrer o fregar tenías que comprar las cosas para hacerlo.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 4 noches', '•Enviado por móvil']",Vitoria
Raquel,España,9.0,Escrito en 22 de agosto de 2025,Me encantó el detalle de bienvenida para el perrete 😄,,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 5 noches', '•Enviado por móvil']",Vitoria
Juan,España,9.0,Escrito en 22 de agosto de 2025,"Apartamento agradable, muy nuevo todo, tranquilo , limpio y cómodo",El sofá cama no era tan cómodo como esperábamos y que no hubiera ni un pequeño estropajo + jabón para poder lavar vajilla,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']",Vitoria
Rodríguez,España,8.0,Escrito en 21 de agosto de 2025,La ubicación.,Era un apartamento en la planta primera y en lugar de hacia la avenida estaba orientado hacia atrás dando a una confluencia de patios de otros edificios altos y ésto hacía que el apartamento tuviera poca luz.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 3 noches', '•Enviado por móvil']",Vitoria
Federico,España,8.0,Escrito en 20 de agosto de 2025,La habitación es muy cómoda en general,,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
